old_index,zip,locale,city,city_code,lat,lng,dist_to_centre
0,E1,"Whitechapel, Stepney, Mile End","London, UK",LDN,51.51801681518555,-0.057273998856544495,5.16951001650764
1,E1W,Wapping,"London, UK",LDN,51.50681686401367,-0.059436000883579254,4.682581297775589
2,E2,"Bethnal Green, Shoreditch","London, UK",LDN,51.52971267700195,-0.0613659992814064,5.563613064070246
3,E3,"Bow, Bromley-by-Bow","London, UK",LDN,51.52787399291992,-0.023260999470949173,7.763922887062194
4,E4,"Chingford, Highams Park","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
5,E5,Clapton,"London, UK",LDN,51.56094741821289,-0.051635000854730606,8.50464049996853
6,E7,"Forest Gate, Upton Park","London, UK",LDN,51.54825210571289,0.02857699990272522,11.971681091415059
7,E8,"Hackney, Dalston","London, UK",LDN,51.544097900390625,-0.0657769963145256,6.432345261476911
8,E9,"Hackney, Homerton","London, UK",LDN,51.54500961303711,-0.03819600120186806,7.872800191632335
9,E10,Leyton,"London, UK",LDN,51.566383361816406,-0.020641999319195747,10.372251184889562
10,E13,Plaistow,"London, UK",LDN,51.52729034423828,0.026878999546170235,11.016822993948175
11,E14,"Poplar, Millwall, Isle of Dogs, Docklands","London, UK",LDN,51.504032135009766,-0.015500999987125397,7.67690643138239
12,E15,"Stratford, West Ham","London, UK",LDN,51.54001998901367,0.0021639999467879534,9.92860586319578
13,E16,"Canning Town, North Woolwich, Docklands","London, UK",LDN,51.50819396972656,0.03547599911689758,11.228412897881768
14,E20,Olympic Park,"London, UK",LDN,51.54411697387695,-0.012249999679625034,9.278619460668045
15,WC1,"Bloomsbury, Grays Inn","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
16,WC2,"Covent Garden, Holborn, Strand","London, UK",LDN,51.5081275,-0.1253257,0.8890052821474401
17,EC1,"Clerkenwell, Finsbury, Barbican","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
18,EC2,"Moorgate, Liverpool Street","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
19,EC3,"Monument, Tower Hill, Aldgate","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
20,EC4,"Fleet Street, St. Pauls","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
21,N1,"Islington, Barnsbury, Canonbury","London, UK",LDN,51.53839874267578,-0.09702000021934509,4.708773270814697
22,N2,East Finchley,"London, UK",LDN,51.58908462524414,-0.16972999274730682,10.336082339453323
23,N4,"Finsbury Park, Manor House","London, UK",LDN,51.57095718383789,-0.10243000090122223,8.04345100605282
24,N5,Highbury,"London, UK",LDN,51.55387878417969,-0.09850499778985977,6.274548050703195
25,N6,Highgate,"London, UK",LDN,51.57302474975586,-0.15124399960041046,8.285566975590225
26,N7,Holloway,"London, UK",LDN,51.55287551879883,-0.1188649982213974,5.884657639034659
27,N8,"Hornsey, Crouch End","London, UK",LDN,51.58452606201172,-0.11871500313282013,9.396308764845882
28,N10,Muswell Hill,"London, UK",LDN,51.59467315673828,-0.14580099284648895,10.59692267943634
29,N15,Seven Sisters,"London, UK",LDN,51.582916259765625,-0.07824599742889404,9.783057523405617
30,N16,"Stoke Newington, Stamford Hill","London, UK",LDN,51.56364440917969,-0.07662100344896317,7.8499402142067884
31,N17,Tottenham,"London, UK",LDN,51.59769058227539,-0.0685420036315918,11.556145314864287
32,N19,"Archway, Tufnell Park","London, UK",LDN,51.56539535522461,-0.13108499348163605,7.262414101465511
33,N22,"Wood Green, Alexandra Palace","London, UK",LDN,51.59977340698242,-0.11194700002670288,11.121303392624117
34,NW1,"Regents Park, Camden Town","London, UK",LDN,51.533714294433594,-0.1456270068883896,3.965768690182625
35,NW2,"Cricklewood, Neasden","London, UK",LDN,51.56060028076172,-0.22249899804592133,9.46147623708562
36,NW3,"Hampstead, Swiss Cottage","London, UK",LDN,51.55601501464844,-0.17332600057125092,7.013989041273088
37,NW5,Kentish Town,"London, UK",LDN,51.553043365478516,-0.1450279951095581,6.023157824081727
38,NW6,"West Hampstead, Kilburn, Queens Park","London, UK",LDN,51.54204559326172,-0.1989469975233078,6.856251530848496
39,NW8,St Johns Wood,"London, UK",LDN,51.53321838378906,-0.17341500520706177,4.916890227916091
40,NW10,"Willesden, Harlesden, Kensal Green","London, UK",LDN,51.53999328613281,-0.2515619993209839,9.737406950225292
41,NW11,"Golders Green, Hampstead Gdn Suburb","London, UK",LDN,51.57786560058594,-0.19571900367736816,9.88761932917038
42,SE1,"Waterloo, Bermondsey, Southwark, Borough","London, UK",LDN,51.49917221069336,-0.09419199824333191,2.22079490598585
43,SE3,"Blackheath, Westcombe Park","London, UK",LDN,51.46904754638672,0.021019000560045242,10.767145390550033
44,SE4,"Brockley, Crofton Park, Honor Oak Park","London, UK",LDN,51.46011734008789,-0.03415299952030182,7.776980791565364
45,SE5,Camberwell,"London, UK",LDN,51.47307586669922,-0.09104900062084198,3.8730878859161213
46,SE6,"Catford, Hither Green, Bellingham","London, UK",LDN,51.43766784667969,-0.015323000028729439,10.358481551830325
47,SE7,Charlton,"London, UK",LDN,51.48588180541992,0.03487100079655647,11.26592412214804
